,nombre_artista,bio,listeners,playcount,similar
20,Apart,"There are multiple artists named Apart:

1) Apart is a band that plays a mix of older screamo and contemporary hardcore. Bandcamp: http://apartsc.bandcamp.com

2) Apart is a solo project from Cinisello Balsamo, Italy, created in 2004 by Francis M. Gri (half of the duo Revglow, and former member of the group all my faith lost ...). Apart was born with the aim of combining electronic and acoustic sounds in a mix of dream-like images and emotions.

In 2006 <a href=""https://www.last.fm/music/Apart"">Read more on Last.fm</a>",8465,171277,"['Barrow', 'Caravels', 'Disembarked', 'Vowel', 'Iselia']"
21,Christian Gerlach," <a href=""https://www.last.fm/music/Christian+Gerlach"">Read more on Last.fm</a>",884,3776,"['Cauê', 'Cliche Morph', 'BLNDR', 'Von Grall', 'Antonio Ruscito']"
22,Deeperwalk," <a href=""https://www.last.fm/music/Deeperwalk"">Read more on Last.fm</a>",1700,10568,"['Methodub', 'Tender H', 'Addex', 'Tim Kossmann', 'Ekstendia']"
23,I7HVN," <a href=""https://www.last.fm/music/I7HVN"">Read more on Last.fm</a>",215,920,[]
24,Melodymann," <a href=""https://www.last.fm/music/Melodymann"">Read more on Last.fm</a>",498,2352,"['Bongoloverz', 'Snazzy Trax', 'Antman', 'Groove Riddim', 'Leisha Moore']"
25,Lorenzo Al Dino," <a href=""https://www.last.fm/music/Lorenzo+al+Dino"">Read more on Last.fm</a>",3799,12956,"['Maestro & Cabal', 'Tom & Joyce', 'Café Luna', 'Raw Artistic Soul', 'Sound Surgeons']"
26,Matteo Vitanza," <a href=""https://www.last.fm/music/Matteo+Vitanza"">Read more on Last.fm</a>",1862,6973,"['Andrea Signore', 'Bruce Zalcer', 'Hxtc', 'Joris Turenhout', 'Karim AlKhayat']"
27,R3ckzet," <a href=""https://www.last.fm/music/R3ckzet"">Read more on Last.fm</a>",4137,20815,"['Jon Mesquita', 'Comah', 'Sound Cloup', 'Junior vieira', 'Madmal']"
28,Vincent Noxx," <a href=""https://www.last.fm/music/Vincent+Noxx"">Read more on Last.fm</a>",9,25,[]
29,Padhme," <a href=""https://www.last.fm/music/Padhme"">Read more on Last.fm</a>",2,3,[]
30,Droneghost," <a href=""https://www.last.fm/music/Droneghost"">Read more on Last.fm</a>",1095,5787,"['Morpha', 'Hydrous', 'MTRL', 'Dycide', 'Foreign Material']"
31,TML,"TML is Minneapolis-based DJ, promoter, and producer Peter Lansky. <a href=""https://www.last.fm/music/TML"">Read more on Last.fm</a>",3115,11558,"['Masha Moxley & The Клюквинs', 'Белка И Стрелка', 'An Eyeland', 'The Клюквинs', 'Addaraя']"
32,LetKolben,"dj and musician LetKolben has begun the career in the end of 2006. Its basic and most liked style in which he plays, is - minimal techno. As such styles and directions are not less interesting to it in electronic music as: techno, downtempo, dub, click'n'cuts, deep …, their various merges and combinations. For the short career has had time to let out advertising a promo disk under the name minimal penetration, with the live set th. The disk has been let out with support of trade mark Extra. <a href=""https://www.last.fm/music/LetKolben"">Read more on Last.fm</a>",1793,9218,"['martin.von.der.rolle', 'Flo Rennt', 'Dandi & Ugo', 'Minicoolboyz', 'Audiofly X']"
33,AAAA,"There are at least two artists with the name AAAA: 

1. aaaa is the pseudonym for Japanese video game composer Mamoru Miyata (宮田守), born March 1994.

2. AAAA is one of the monikers of Mexican electronic music producer and performer Gabo Barranco. He's one of the co-creators of the itinerant rave party collective known as EXT, based in Mexico City. <a href=""https://www.last.fm/music/aaaa"">Read more on Last.fm</a>",20703,363399,"['Camellia', 'Waterflame', 'Sta', 'MDK', 'Yunosuke']"
34,Dj Scale Ripper," <a href=""https://www.last.fm/music/Dj+Scale+Ripper"">Read more on Last.fm</a>",1191,3124,"['88756', 'Stockholm Acid Force', 'Decoq', 'Mark Greene', 'Illiya Korniyenko']"
35,I Am Bam," <a href=""https://www.last.fm/music/I+AM+BAM"">Read more on Last.fm</a>",7983,30143,"['Zusan', 'Dave Sinner', 'A.S.H', 'Emma Jai', 'F-Rontal']"
36,Nae:Tek," <a href=""https://www.last.fm/music/Nae:Tek"">Read more on Last.fm</a>",3877,35110,[]
37,Danilenko," <a href=""https://www.last.fm/music/Danilenko"">Read more on Last.fm</a>",215,694,"['Incorrect Waves', 'Voin Oruwu', 'Jorge Fons', 'Black Hypnotist', 'Recid']"
38,Modular Phaze," <a href=""https://www.last.fm/music/Modular+Phaze"">Read more on Last.fm</a>",1599,13182,"['Vertical Spectrum', 'Human Insect', 'Endlec', 'Exium', 'Yinn']"
39,Primary Substance,"Russian musical project, founded in 2010 in St. Petersburg by a musician, rapper and sound designer Alexey Semenov. <a href=""https://www.last.fm/music/Primary+Substance"">Read more on Last.fm</a>",289,3713,"['Nplm', 'Cousin Vic', 'Dronum', 'DubSane', 'Aedem']"
40,Yan Oxygen," <a href=""https://www.last.fm/music/Yan+Oxygen"">Read more on Last.fm</a>",3957,17741,"['A.K.O.', '2 Robots', 'Piatto', 'Federico Milani', 'FLOW Superstars']"
41,Israel Toledo,"Israel Toledo is the brain behind ASR, he runs the label Assassin Soldier Recordings and Now a days he is producing many releases and remixes for many labels world..

Israel Toledo is a Mexican DJ & Producer based in Germany. He is one of the most exported Mexican Dj´s. 

He is the brain behind Assassin Soldier Recordings and now a days he is producing many releases and remixes for many labels world wide and playing around the globe in Clubs like Tresor <a href=""https://www.last.fm/music/Israel+Toledo"">Read more on Last.fm</a>",1430,5634,"['Mikael Pfeiffer', 'Niereich', 'GabeeN', 'A. Trebor', 'Jeroen Search']"
42,FU-5," <a href=""https://www.last.fm/music/FU-5"">Read more on Last.fm</a>",175,904,"['Augusto Taito', 'Exium', 'Bas Mooy', 'Kinenz', 'Orben']"
43,Mari Mattham," <a href=""https://www.last.fm/music/Mari+Mattham"">Read more on Last.fm</a>",734,4057,"['Ricardo Garduno', 'Fixeer', 'DJ Saint Pierre', 'rasser', 'Astronomy Domine']"
44,Darkrow," <a href=""https://www.last.fm/music/Darkrow"">Read more on Last.fm</a>",1363,4482,"['Aitor Ronda', 'Elton D', 'Peppelino', 'Raul Mezcolanza', 'Hristian Stojanowski']"
45,Austrek," <a href=""https://www.last.fm/music/Austrek"">Read more on Last.fm</a>",974,2071,"['Schwarz Avni', 'Matchy', 'Blindsmyth', 'Nowhere People', 'Delph']"
46,Tender H,"Max Karnaushko. Dub techno artist from Belarus. <a href=""https://www.last.fm/music/Tender+H"">Read more on Last.fm</a>",1763,22691,"['HEAVENCHORD', 'Tim Kossmann', 'Ekhozone', 'Basicnoise', 'BT Gate X-138']"
47,Omega Drive," <a href=""https://www.last.fm/music/Omega+Drive"">Read more on Last.fm</a>",2048,11596,"['Brent Sadowick', 'Gary Maguire', 'Kamui', 'Renegade System', 'Audiowarp']"
48,C-System,"Spanish producer and DJ C-System is a talented performer with eclectic tastes who dabbles in music of all kinds, from techno to electro and everything in between. <a href=""https://www.last.fm/music/C-System"">Read more on Last.fm</a>",1565,10396,"['Zetacode', 'Tiago S', 'Miche & Mirzinho', 'David Moleon', 'Veztax']"
49,Ignacio Arfeli," <a href=""https://www.last.fm/music/Ignacio+Arfeli"">Read more on Last.fm</a>",5432,20784,"['Nicolas Taboada', 'Pablo Say', 'A.D.H.S.', 'Patrik Berg', 'Loco & Jam']"
50,Lewis G. Burton," <a href=""https://www.last.fm/music/Lewis+G.+Burton"">Read more on Last.fm</a>",425,1433,"['Femanyst', 'Furfriend', 'Y1640', 'Minimal Violence', 'Jasmine Infiniti']"
51,Chiraya," <a href=""https://www.last.fm/music/Chiraya"">Read more on Last.fm</a>",55,154,[]
52,Aves Volare," <a href=""https://www.last.fm/music/Aves+Volare"">Read more on Last.fm</a>",2160,6604,"['Stefanie Raschke', 'Stephan Zovsky', 'Maria die Ruhe', 'Prismode', 'Modeplex']"
53,Dave Wesley," <a href=""https://www.last.fm/music/Dave+Wesley"">Read more on Last.fm</a>",1310,11052,"['Androoval', 'Brian Bender', 'marcos romero', 'Diertich Shoenenmann', 'Eduardo Larez & Hector Castillo']"
54,Namito,"Namito is one of the most pleasant DJs you could hope to meet. Far from the wannabe stars that dominate the scene Namito truly loves his career and relishes every moment he spends playing or producing. While other DJs strive for fame and recognition, Namitos down_to_earth  attitude and approach to his music make him one of the few real DJ_Artists. Rarely do you find such a dedicated individual, the man goes to bed with his logic audio manual for gods sake! <a href=""https://www.last.fm/music/Namito"">Read more on Last.fm</a>",32594,137413,"['Nu', 'Oliver Koletzki', 'Dominik Eulberg', 'Alex Spite', 'Rodriguez Jr.']"
55,David Durst," <a href=""https://www.last.fm/music/David+Durst"">Read more on Last.fm</a>",84,239,[]
56,Guy Mantzur,"www.myspace.com/guymantzur


Guy Mantzur, 


a Tel-Aviv based musician specializes in electronic music in all its various genres. Be it chill-out, Teck House or Lounge/ Guys' music can be heard on various TV shows, films, plays and  Cmpilations around the world. He's produced music for various artists, remixes and writes and sings his own music. He's a top professional with chart positions and success stories to show for.


www.myspace.com/guymantzur <a href=""https://www.last.fm/music/Guy+Mantzur"">Read more on Last.fm</a>",17913,86327,"['Dmitry Molosh', 'Stereo Underground', 'D-Nox', 'FRANKEY', 'Atelier Francesco']"
57,Seventh Sea," <a href=""https://www.last.fm/music/Seventh+Sea"">Read more on Last.fm</a>",267,972,"['EAS', 'Lesser Of', 'Lorenzo Raganzini', 'buried secrets', 'Dahryl']"
58,Sven Kuhlmann," <a href=""https://www.last.fm/music/Sven+Kuhlmann"">Read more on Last.fm</a>",1517,5371,"['Xyloo', 'Sven & Olav', 'Schustin', 'Innertier', '3logy']"
59,Crimson Butterfly,"Crimson Butterfly is a cosmoenergetic alliance of two cats with synths and laptop. Physical bodies of the band are located in Nizhniy Novgorod, Russia, the sounds have been created for more than ten years. For this period different genres had been tried: coldwave with mysterious autist singer, then synthpop with two lead singers, and currently the band returned to what it had started with: experimental abstract electronic. Crimson Butterfly love to <a href=""https://www.last.fm/music/Crimson+Butterfly"">Read more on Last.fm</a>",1966,12227,"['Musique Bye Leo.', 'Beneva vs. Clark Nova', 'ill!noiz', 'GreenGender', 'KernHerbst']"
60,Lady Maru,"Lady Maru started producing music in 1994 with an electric guitar, some toy percussions and a tascam 4 track recorder.she becomes quickly active as a noise guitarist and casio player for post punk and no wave bands.
her dj career started djing in 2003 at Metaverso a small roman ""cult ""club and at underground raves and parties trying to combine 2 influences: post punk and techno. her actual sound as a producer and as a dj is mostly based on acidtechno with industrial and ebm influences. <a href=""https://www.last.fm/music/Lady+Maru"">Read more on Last.fm</a>",2028,6006,"['The Twins Artcore', 'Peckerhead', 'Lenz', 'Tellurian', 'DJ Dano']"
61,Sopik," <a href=""https://www.last.fm/music/Sopik"">Read more on Last.fm</a>",10359,63552,"['Alex Farell', 'SIKOTI', 'Luca Agnelli', 'Carv', 'Sara Landry']"
62,Kinko,"Kinko, also known as the Hounds of Sound is a project launched in 2010 (25.02 to be exact), as an experiment by High Priestess (co-founder of Church of Sexology Productions) after Ludwig Von Sucktoven (head of CoSX) encouraged her to do so. 

 The amateur porn of music. You either like it or you don't. <a href=""https://www.last.fm/music/Kinko"">Read more on Last.fm</a>",186,474,"['Cardao', '88756', 'Hanubis', 'Vincenzo Pizzi', 'Quentin Ravn']"
63,Isabassi," <a href=""https://www.last.fm/music/isabassi"">Read more on Last.fm</a>",319,1610,"['Xato', 'Sectra', 'Benfika', 'Sophia Loizou', 'Tatyana Jane']"
64,Sergy Casttle," <a href=""https://www.last.fm/music/Sergy+Casttle"">Read more on Last.fm</a>",1092,4378,"['Seid van Riel', 'Umek And Beltek', 'Brian Sanhaji', 'Digital Nature and Misja Helsloot', 'Mjaoo & Trone']"
65,Mown," <a href=""https://www.last.fm/music/Mown"">Read more on Last.fm</a>",1000,4838,"['The Alchemical Theory', 'Dycide', 'Biocym', 'Kontinum', 'Svarog']"
66,Samantha Togni," <a href=""https://www.last.fm/music/Samantha+Togni"">Read more on Last.fm</a>",1770,6147,"['Lokier', 'Lucinee', 'somewhen', 'Zafer Atabey', 'L Ʌ V Σ N']"
67,Denizens," <a href=""https://www.last.fm/music/Denizens"">Read more on Last.fm</a>",877,3396,"['HOBBIES OF TODAY', 'Screen 3', 'To the Finland Station', 'The Homosexuals', 'The Cravats']"
68,Felix Reichelt," <a href=""https://www.last.fm/music/Felix+Reichelt"">Read more on Last.fm</a>",741,2291,"['Roger Lavelle', 'Torsten Kanzler', 'Mattia Saviolo', 'Demon Noise', 'Klines']"
69,Frank Arvonio," <a href=""https://www.last.fm/music/Frank+Arvonio"">Read more on Last.fm</a>",570,1391,"['Audiomatiques', 'Dok & Martin', 'Slin Bourgh', 'Weska', 'Drunken Kong']"
70,Dualit," <a href=""https://www.last.fm/music/Dualit"">Read more on Last.fm</a>",924,3203,"['Exium', 'Hound Scales', 'Bas Mooy', 'CTRLS', 'Myler']"
71,DJ D ReDD," <a href=""https://www.last.fm/music/DJ+D+ReDD"">Read more on Last.fm</a>",132,342,"['Niereich', 'Deas']"
72,Steve Shaden," <a href=""https://www.last.fm/music/Steve+Shaden"">Read more on Last.fm</a>",3966,14059,"['Gene Karz', 'ShadYM', 'Dj Jordan', 'Kai Pattenberg', 'Darmec']"
73,Hans Bouffmyhre,"Hans Bouffmyhre is a young man from Paisley, Glasgow with a worrying obsession for techno music. Hans started off his career in 2006 when he began to promote his own party in Glasgow called 'Sleaze' where he booked and played alongside some of the worlds best techno acts including the likes of Andrew Weatherall, Funk D' Void, Chloe, Radio Slave, Johannes Heil, Extrawelt, Phil Keiran, Len Faki & Par Grindvik!

At the start of 2007, Hans started learning about music production and making his own tracks. <a href=""https://www.last.fm/music/Hans+Bouffmyhre"">Read more on Last.fm</a>",13366,65946,"['Alex Bau', 'Pfirter', 'Sasha Carassi', 'A. Mochi', 'Tom Hades']"
74,Achiever," <a href=""https://www.last.fm/music/achiever"">Read more on Last.fm</a>",3077,14365,"['HEL.IV', 'Brecc', 'Kozlov', 'vinya', 'L Ʌ V Σ N']"
75,Skov Bowden," <a href=""https://www.last.fm/music/Skov+Bowden"">Read more on Last.fm</a>",888,2717,"['MARCAL', 'CRAVO', 'SHDW', '88756', 'KUSP (UK)']"
76,Fernie," <a href=""https://www.last.fm/music/Fernie"">Read more on Last.fm</a>",6566,24678,"['Ancestral Landscapes', 'Assimilated', 'Nils Edte', 'Biocym', 'ØSC']"
77,Hefty,"London based Hefty has created his own unique style of dark, abstract, bass fuelled hypnotic minimal and dark driving twisted techno, which is receiving huge interest in the global minimal and techno scenes. With requests for remixes, collaborations and EP's flooding in and many tracks already released, Hefty is determined to unleash his dark sounds on the public and continue to explore the realms of minimal and techno. Now with over 100,000 plays on soundcloud alone and signed to many UK and international labels... he is about to go global! <a href=""https://www.last.fm/music/Hefty"">Read more on Last.fm</a>",6139,40440,"['Tonikattitude', 'Simone Tavazzi', 'Diatek', 'Niereich', 'Felix Bernhardt']"
78,PWCCA,"PWCCA, a.k.a. Dr Cyanide (born 26 April 1979 in Madrid, Spain) is a Spanish DJ and producer of house, techno and other forms of electronic underground music. <a href=""https://www.last.fm/music/PWCCA"">Read more on Last.fm</a>",1732,12699,"['Lidvall', 'Kike Pravda', 'Lakej', 'Ribé', 'Oliver Rosemann']"
79,Procopis Gkouklias," <a href=""https://www.last.fm/music/Procopis+Gkouklias"">Read more on Last.fm</a>",266,773,"['Dok & Martin', 'Akoriz', 'Mark Greene', 'Steve Shaden', 'BRÄLLE']"
80,Lützenkirchen,"Tobias David Lützenkirchen (* in Neuss, Germany) is a German electronic music producer and DJ. He's of Cuban descent on his father's side.

His first track under his own name was released in August 2005 on the sampler ""Nature One 2005 - Mission to Future"". Together with John Acquaviva he made the track Zombie and it was listed in the Best-Selling-MP3-list of the online-musicstore ""beatport"" in 2008.

His sound is characterized by using various elements of Techno, House, Trance and rave combined, without  classifying into any genre. <a href=""https://www.last.fm/music/+noredirect/L%C3%BCtzenkirchen"">Read more on Last.fm</a>",94912,661902,"['Florian Meindl', 'Lutzenkirchen', 'Rainer Weichhold', 'Martin Eyerer', 'Format: B']"
81,Daniele Di Martino," <a href=""https://www.last.fm/music/Daniele+Di+Martino"">Read more on Last.fm</a>",12704,39760,"['Greg June', 'Andre Crom feat. Dennis Degenhardt', 'Maywald', 'We Are I.V', 'Kamaura']"
82,Disco Ball'z,"DISCO BALL'z is the stage name of DJ and producer Balazs Oravecz, from Budapest, Hungary.
His style is a mix of tech house, grooving beats, and filtered old school riffs from the golden age of disco music.  <a href=""https://www.last.fm/music/Disco+Ball%27z"">Read more on Last.fm</a>",1364,7799,"['Audio Jacker', 'Coach Roebuck', 'B.Jinx', 'DJ Zimmo', 'Dirty Distrikt']"
83,Atze Ton," <a href=""https://www.last.fm/music/Atze+Ton"">Read more on Last.fm</a>",3926,19517,"['Ian Axide', 'Kai Pattenberg', 'Sebastian Groth', 'Hell Driver', 'Marco Ginelli']"
84,Danny Fontana," <a href=""https://www.last.fm/music/Danny+Fontana"">Read more on Last.fm</a>",1498,6623,"['I AM BAM', 'Skober', 'Rudosa', 'Durtysoxxx', 'Loco & Jam']"
85,Tom Hutt," <a href=""https://www.last.fm/music/Tom+Hutt"">Read more on Last.fm</a>",8934,29471,"['Lazar (IT)', 'Audiomatiques', 'Davinson', ""Antonio D'Africa"", 'DR. DRTY']"
86,Carara," <a href=""https://www.last.fm/music/Carara"">Read more on Last.fm</a>",726,3156,"['Fixeer', 'Michel Lauriola', 'Axel Karakasis', 'Dominik Muller', 'Kike Pravda']"
87,Royal Sapien,"Royal Sapien is producer and DJ, Ben Mautner from Brooklyn, New York. He creates all sorts of electronic music, particularly breaks and house, and runs Olaris Records, on which his most recent two albums have been released. <a href=""https://www.last.fm/music/Royal+Sapien"">Read more on Last.fm</a>",3720,16818,"['Marat Schacht', 'Affective', 'Ralph Fritsch', 'SPX', 'VIFRAMA']"
88,ÁCIDA ÁCIDA," <a href=""https://www.last.fm/music/%C3%81CIDA+%C3%81CIDA"">Read more on Last.fm</a>",291,3599,"['Entropia-Entalpia', ""Serial Killers Don't Kill Their Boyfriends"", 'nog4yra', 'Valesuchi', 'Gezender']"
89,Roentgen Limiter," <a href=""https://www.last.fm/music/Roentgen+Limiter"">Read more on Last.fm</a>",8851,45746,"['Zeltak', 'Marco Leckbert', 'Kozlov', 'MZperX', 'Rzvx']"
90,Vilas Monnappa," <a href=""https://www.last.fm/music/Vilas+Monnappa"">Read more on Last.fm</a>",157,422,[]
91,Veztax,"Being a fan of Techno music, he was quick to respond to the occurrence of electronic music scene in Slovenia. Like most music lovers, he started as a spectator, following the scene's progress until December of 1994, when he felt it was time to contribute his own thing. He began organizing parties. Always looking for new challenges, he moved to Amsterdam for three years to continue promoting parties. There, he also organized several parties with - now world-famous - Slovene DJ's like DJ Umek, DJ Valentino Kanzyani and others. <a href=""https://www.last.fm/music/Veztax"">Read more on Last.fm</a>",1328,4308,"['Tiago S', 'Elton D', 'Raul Mezcolanza', 'Miche & Mirzinho', 'Zetacode']"
92,Luca Kallweit,"Luca  Kallweit was born October 15, 1996 and started his career as a producer  and DJ for electronic music in 2016. Luca has joined ""Darian Jaburg  Records"" and ""KATEKK Records"" March 2018 - the first Release ""EP  Mysteriös"" was published May 2018.
Luca was performing on  different techno events like Project X (Bochum DE) Newcomer Night as  well as Project X Newcomer Night 2 and Extenction Tour as Druckluft  (Oberhausen DE) <a href=""https://www.last.fm/music/Luca+Kallweit"">Read more on Last.fm</a>",1226,6209,"['Rocco Liptai', 'Iron (HUN)', 'MaSSive H.', 'absentvx', 'MartinStuff']"
93,White Shadows," <a href=""https://www.last.fm/music/White+Shadows"">Read more on Last.fm</a>",6818,31559,"['Tiger Choir', ""World's End Press"", 'Elizabeth Rose', 'Jenny Broke the Window', 'Hopium']"
94,Cari Lekebusch,"Cari Lekebusch,(born 1972 in Stockholm, Sweden) is an electronic music producer and DJ based in Stockholm. His productions range from techno to hip hop. He owns a record label, H. Productions (formerly known as Hybrid Sound Architectures, founded 1986). 

More info: www.lekebuschmusik.se <a href=""https://www.last.fm/music/Cari+Lekebusch"">Read more on Last.fm</a>",39794,272035,"['Planetary Assault Systems', 'Adam Beyer', 'The Advent', 'Heiko Laux', 'Robert Hood']"
95,Hakko," <a href=""https://www.last.fm/music/Hakko"">Read more on Last.fm</a>",254,869,"['14Anger', 'REPHATE', 'New Frames', 'Brecc', 'Vlaysin']"
96,Celestial Rituals," <a href=""https://www.last.fm/music/Celestial+Rituals"">Read more on Last.fm</a>",272,921,"['Anders Hellberg', 'Save Your Atoll', 'Andrea Cossu', 'Deepbass & Ness', 'The Alchemical Theory']"
97,Steve Kid," <a href=""https://www.last.fm/music/Steve+Kid"">Read more on Last.fm</a>",1322,4109,"['Stefano Noferini', 'Kid Shakers', 'Dany Cohiba', 'Blacktron', 'Luca Bear']"
98,Bendik Baksaas," «We partied, we improvised, we tore the place up. When I say we, I mean the incredible indie-hiphop/eclectic-jazz live band Bendik Baksaas, the illest beat DJ bringing the funk all night long – DJ Baz, and myself that had to give a lil bit of rugged beats for the late nighters. We did it, we did it hard, and we'll do it again in the near future.»

- Krts Hairston, Brooklyn, NY - Etter å ha spilt improvisert klubbmusikk sammen med Bendik Baksaas Band på Blå. <a href=""https://www.last.fm/music/Bendik+Baksaas"">Read more on Last.fm</a>",1219,13338,"['Bendik Baksaas Band', 'Tuba Tuba', 'Billie Van', 'Bendik', 'Broen']"
99,Turning Torso,"Turning Torso aka David Sánchez (CDMX, 1990) is an audiovisual artist, DJ & producer that explores different rhythms, tones and chromatic elements. He generates multiple iterative textures aiming for abstract experiences adjacent to the phenomenology of the present. <a href=""https://www.last.fm/music/Turning+Torso"">Read more on Last.fm</a>",2266,19607,"['María y José', 'Magical Mistakes', 'Fonobisa', 'Beat Culture', 'Different Sleep']"
100,Kind Of People," <a href=""https://www.last.fm/music/Kind+of+People"">Read more on Last.fm</a>",257,572,"['Decoq', 'SHDW', 'VNTM', 'Foreign Material', 'Beico & Mt93']"
101,Kooscha," <a href=""https://www.last.fm/music/Kooscha"">Read more on Last.fm</a>",565,3284,"['Special Zip', 'R.Hz', 'Altone', 'Schulz Audio', 'Tim Kossmann']"
102,Max Delta," <a href=""https://www.last.fm/music/Max+Delta"">Read more on Last.fm</a>",300,1004,"['Anna Reusch', 'Brennen Grey', 'Sama', 'Sdb', 'Daniel Levak']"
103,Air Jackson," <a href=""https://www.last.fm/music/Air+Jackson"">Read more on Last.fm</a>",181,582,"['SevenDoors', 'Florian Kruse']"
